학교ID,학교명,학교급구분,소재지도로명주소,생성일자,변경일자,위도,경도
B000001896,서울연광초등학교,초등학교,서울특별시 은평구 연서로35길 37,2013-11-29,2019-09-10,37.6238264,126.9240662
B000001897,서울수색초등학교,초등학교,서울특별시 은평구 수색로16길 21,2013-11-29,2019-09-10,37.5850571,126.8954934
B000001898,서울신사초등학교,초등학교,서울특별시 은평구 가좌로 275-2,2013-11-29,2019-09-10,37.5926639,126.9121215
B000001899,서울서신초등학교,초등학교,서울특별시 은평구 은평터널로 150,2013-11-29,2019-09-10,37.5923285,126.9074837
B000001900,서울상신초등학교,초등학교,서울특별시 은평구 가좌로 361,2013-11-29,2019-09-10,37.5976771,126.9048
B000001901,서울역촌초등학교,초등학교,서울특별시 은평구 은평로3길 25,2013-11-29,2019-09-10,37.6017363,126.9142657
B000001902,서울은명초등학교,초등학교,서울특별시 은평구 은평로4길 21-9,2013-11-29,2019-09-10,37.5979615,126.9188333
B000001903,서울연은초등학교,초등학교,서울특별시 은평구 백련산로2길 35,2013-11-29,2019-09-10,37.59051113,126.9251778
B000001904,서울응암초등학교,초등학교,서울특별시 은평구 가좌로6길 20,2013-11-29,2019-09-10,37.5882608,126.9217624
B000001905,서울증산초등학교,초등학교,서울특별시 은평구 증산서길 61,2013-11-29,2019-09-10,37.5821614,126.9043095
B000001906,서울대은초등학교,초등학교,서울특별시 은평구 통일로69길 12-15,2013-11-29,2019-09-10,37.6118365,126.9261543
B000001907,충암초등학교,초등학교,서울특별시 은평구 가좌로5길 5,2013-11-29,2019-09-10,37.5850457,126.9217386
B000001908,선일초등학교,초등학교,서울특별시 은평구 갈현로29길 27,2013-11-29,2019-09-10,37.6197497,126.9126173
B000001909,예일초등학교,초등학교,서울특별시 은평구 연서로 117,2013-11-29,2019-09-10,37.6101791,126.9151623
B000001910,은혜초등학교,초등학교,서울특별시 은평구 통일로78가길 20,2013-11-29,2019-09-10,37.6177328,126.9275737
B000001912,서울미동초등학교,초등학교,서울특별시 서대문구 충정로 52,2013-11-29,2019-09-10,37.5631109,126.9662737
B000001913,서울금화초등학교,초등학교,서울특별시 서대문구 통일로 165,2013-11-29,2019-09-10,37.5683284,126.9630251
B000001914,서울홍은초등학교,초등학교,서울특별시 서대문구 세검정로 105,2013-11-29,2019-09-10,37.5974199,126.9496287
B000001915,서울홍제초등학교,초등학교,서울특별시 서대문구 홍은중앙로 13,2013-11-29,2019-09-10,37.5931186,126.9448285
B000001916,서울북성초등학교,초등학교,서울특별시 서대문구 북아현로1나길 22(북아현동),2013-11-29,2019-09-10,37.5591762,126.9522691
B000001917,서울연가초등학교,초등학교,서울특별시 서대문구 증가로12가길 49-50,2013-11-29,2019-09-10,37.5802016,126.9180758
B000001918,서울대신초등학교,초등학교,서울특별시 서대문구 이화여대2길 27,2013-11-29,2019-09-10,37.5580828,126.947849
B000001919,서울북가좌초등학교,초등학교,서울특별시 서대문구 거북골로19길 20,2013-11-29,2019-09-10,37.5774792,126.9074665
B000001920,서울연희초등학교,초등학교,서울특별시 서대문구 연희로 136,2013-11-29,2019-09-10,37.569167,126.9339564
B000001921,서울창서초등학교,초등학교,서울특별시 서대문구 연세로5나길 30-3,2013-11-29,2019-09-10,37.5576122,126.9338905
B000001922,서울홍연초등학교,초등학교,서울특별시 서대문구 백련사길 55,2013-11-29,2019-09-10,37.5818632,126.9309472
B000001923,서울안산초등학교,초등학교,서울특별시 서대문구 통일로 321,2013-11-29,2019-09-10,37.5790158,126.9515446
B000001924,서울인왕초등학교,초등학교,서울특별시 서대문구 세무서길 33-9,2013-11-29,2019-09-10,37.5901698,126.9450604
B000001925,서울고은초등학교,초등학교,서울특별시 서대문구 모래내로 441,2013-11-29,2019-09-10,37.5847702,126.9433678
B000001926,경기초등학교,초등학교,서울특별시 서대문구 경기대로9길 10,2013-11-29,2019-09-10,37.5648923,126.9628701
B000001927,이화여자대학교사범대학부속초등학교,초등학교,서울특별시 서대문구 성산로 512-39,2013-11-29,2019-09-10,37.5612266,126.9426231
B000001928,추계초등학교,초등학교,서울특별시 서대문구 북아현로11가길 7,2013-11-29,2019-09-10,37.5628641,126.9531684
B000001929,명지초등학교,초등학교,서울특별시 서대문구 명지2길 32-20,2013-11-29,2019-09-10,37.5835561,126.9280461
B000001930,서울공덕초등학교,초등학교,서울특별시 마포구 만리재옛길 13,2013-11-29,2019-09-10,37.5457002,126.9537786
B000001931,서울창천초등학교,초등학교,서울특별시 마포구 백범로1길 56,2013-11-29,2019-09-10,37.5548865,126.9393201
B000001932,서울용강초등학교,초등학교,서울특별시 마포구 백범로17길 9,2013-11-29,2019-09-10,37.5486147,126.9440167
B000001933,서울마포초등학교,초등학교,서울특별시 마포구 도화2길 64,2013-11-29,2019-09-10,37.5384272,126.9494344
B000001934,서울동교초등학교,초등학교,서울특별시 마포구 월드컵로25길 86,2013-11-29,2019-09-10,37.5582046,126.9023504
B000001935,서울망원초등학교,초등학교,서울특별시 마포구 방울내로5길 28,2013-11-29,2019-09-10,37.5608234,126.9008405
B000001936,서울서강초등학교,초등학교,서울특별시 마포구 독막로 113,2013-11-29,2019-09-10,37.5483494,126.9265893
B000001937,서울하늘초등학교,초등학교,서울특별시 마포구 월드컵북로 502-14,2013-11-29,2019-09-10,37.5855353,126.8806962
B000001938,서울서교초등학교,초등학교,서울특별시 마포구 와우산로23길 20-27,2013-11-29,2019-09-10,37.5546731,126.9251258
B000001939,서울성원초등학교,초등학교,서울특별시 마포구 월드컵로36길 34,2013-11-29,2019-09-10,37.5672887,126.9052439
B000001940,서울성서초등학교,초등학교,서울특별시 마포구 성미산로7길 24,2013-11-29,2019-09-10,37.56059548,126.9109264
B000001941,서울중동초등학교,초등학교,서울특별시 마포구 월드컵북로 152,2013-11-29,2019-09-10,37.5666231,126.911279
B000001942,서울신석초등학교,초등학교,서울특별시 마포구 대흥로 33,2013-11-29,2019-09-10,37.5442479,126.9378894
B000001943,서울아현초등학교,초등학교,서울특별시 마포구 굴레방로 6,2013-11-29,2019-09-10,37.5555103,126.9559661
B000001944,서울소의초등학교,초등학교,서울특별시 마포구 마포대로24길 42,2013-11-29,2019-09-10,37.5522666,126.9608455
B000001945,서울한서초등학교,초등학교,서울특별시 마포구 대흥로24바길 27,2013-11-29,2019-09-10,37.5535191,126.9495758
B000001946,서울염리초등학교,초등학교,서울특별시 마포구 토정로37길 37,2013-11-29,2019-09-10,37.5424465,126.9461953
B000001947,서울신북초등학교,초등학교,서울특별시 마포구 월드컵북로38길 26,2013-11-29,2019-09-10,37.5712061,126.9051164
B000001948,서울성산초등학교,초등학교,서울특별시 마포구 양화로3길 94,2013-11-29,2019-09-10,37.5534098,126.9111567
B000001949,서울상지초등학교,초등학교,서울특별시 마포구 월드컵로42길 30,2013-11-29,2019-09-10,37.579602,126.8821351
B000001950,서울상암초등학교,초등학교,서울특별시 마포구 월드컵북로 353,2013-11-29,2019-09-10,37.5759905,126.8922651
B000001951,홍익대학교사범대학부속초등학교,초등학교,서울특별시 마포구 성미산로 51,2013-11-29,2019-09-10,37.5601072,126.9134939
B000001952,서울천왕초등학교,초등학교,서울특별시 구로구 천왕로1길 11,2013-11-29,2019-09-10,37.4816096,126.8367161
B000001953,서울영일초등학교,초등학교,서울특별시 구로구 남부순환로105길 218,2013-11-29,2019-09-10,37.4853017,126.8840736
B000001954,서울미래초등학교,초등학교,서울특별시 구로구 새말로 73,2013-11-29,2019-09-10,37.505016,126.8879424
B000001955,서울고원초등학교,초등학교,서울특별시 구로구 경인로46길 13,2013-11-29,2019-09-10,37.4974706,126.8659718
B000001956,서울고산초등학교,초등학교,서울특별시 구로구 중앙로 6,2013-11-29,2019-09-10,37.4992418,126.8653696
B000001957,서울개웅초등학교,초등학교,서울특별시 구로구 개봉로11길 98,2013-11-29,2019-09-10,37.4885697,126.8500524
B000001958,서울개명초등학교,초등학교,서울특별시 구로구 개봉로1다길 16-9,2013-11-29,2019-09-10,37.4828583,126.8505447
B000001959,서울온수초등학교,초등학교,서울특별시 구로구 부일로 893,2013-11-29,2019-09-10,37.4940717,126.825993
B000001960,서울매봉초등학교,초등학교,서울특별시 구로구 고척로21길 55,2013-11-29,2019-09-10,37.5046996,126.844375
B000001961,서울개봉초등학교,초등학교,서울특별시 구로구 개봉로16길 30-11,2013-11-29,2019-09-10,37.4897274,126.858306
B000001962,서울고척초등학교,초등학교,서울특별시 구로구 경서로 31,2013-11-29,2019-09-10,37.5006668,126.8569791
B000001963,서울덕의초등학교,초등학교,서울특별시 구로구 고척로 213,2013-11-29,2019-09-10,37.5062766,126.8567988
B000001964,서울세곡초등학교,초등학교,서울특별시 구로구 고척로33길 34,2013-11-29,2019-09-10,37.5048823,126.849058
B000001965,서울동구로초등학교,초등학교,서울특별시 구로구 구로중앙로14길 43,2013-11-29,2019-09-10,37.4950456,126.8923106
B000001966,서울신구로초등학교,초등학교,서울특별시 구로구 가마산로27길 69,2013-11-29,2019-09-10,37.499552,126.8893658
B000001967,서울영서초등학교,초등학교,서울특별시 구로구 도림로20길 57,2013-11-29,2019-09-10,37.4882883,126.8946742
B000001968,서울구로남초등학교,초등학교,서울특별시 구로구 디지털로27길 76,2013-11-29,2019-09-10,37.4848279,126.8905958
B000001969,서울구로초등학교,초등학교,서울특별시 구로구 구로중앙로27나길 9,2013-11-29,2019-09-10,37.49746124,126.8865524
B000001970,서울구일초등학교,초등학교,서울특별시 구로구 구일로 68,2013-11-29,2019-09-10,37.4927407,126.8729387
B000001971,서울신미림초등학교,초등학교,서울특별시 구로구 신도림로 26,2013-11-29,2019-09-10,37.5069274,126.8794934
B000001972,서울신도림초등학교,초등학교,서울특별시 구로구 신도림로19길 44,2013-11-29,2019-09-10,37.5123256,126.8833965
B000001973,서울오류초등학교,초등학교,서울특별시 구로구 경인로19길 39,2013-11-29,2019-09-10,37.4981498,126.8423578
B000001974,서울오정초등학교,초등학교,서울특별시 구로구 경인로2길 10,2013-11-29,2019-09-10,37.489624,126.8265149
B000001975,서울오류남초등학교,초등학교,서울특별시 구로구 서해안로24길 22,2013-11-29,2019-09-10,37.4896067,126.8387106
B000001976,서울두산초등학교,초등학교,서울특별시 금천구 범안로11길 3,2013-11-29,2019-09-10,37.4672494,126.8909721
B000001977,서울문교초등학교,초등학교,서울특별시 금천구 독산로54길 102,2013-11-29,2019-09-10,37.4667151,126.9089754
B000001978,서울영남초등학교,초등학교,서울특별시 금천구 문성로 62-15,2013-11-29,2019-09-10,37.4754537,126.9094339
B000001979,서울금동초등학교,초등학교,서울특별시 금천구 금하로30길 53,2013-11-29,2019-09-10,37.4474274,126.9164244
B000001980,서울문백초등학교,초등학교,서울특별시 금천구 시흥대로47길 43-1,2013-11-29,2019-09-10,37.4470903,126.8995074
B000001981,서울신흥초등학교,초등학교,서울특별시 금천구 독산로36 나 길 21,2013-11-29,2019-09-10,37.4596867,126.9090436
B000001982,서울가산초등학교,초등학교,서울특별시 금천구 남부순환로 1304-11,2013-11-29,2019-09-10,37.4781195,126.896405
B000001983,서울정심초등학교,초등학교,서울특별시 금천구 독산로78다길 89,2013-11-29,2019-09-10,37.4717252,126.9083606
B000001984,서울문성초등학교,초등학교,서울특별시 금천구 시흥대로 460,2013-11-29,2019-09-10,37.4747768,126.8994644
B000001985,서울독산초등학교,초등학교,서울특별시 금천구 시흥대로104길 31,2013-11-29,2019-09-10,37.4655786,126.9000569
B000001986,서울안천초등학교,초등학교,서울특별시 금천구 한내로 69-16,2013-11-29,2019-09-10,37.4585946,126.8883555
B000001987,서울금천초등학교,초등학교,서울특별시 금천구 탑골로5길 60,2013-11-29,2019-09-10,37.4546475,126.9126228
B000001988,서울탑동초등학교,초등학교,서울특별시 금천구 탑골로 47-3,2013-11-29,2019-09-10,37.4524341,126.9149142
B000001989,서울백산초등학교,초등학교,서울특별시 금천구 시흥대로38길 78,2013-11-29,2019-09-10,37.4466467,126.905247
B000001990,서울금산초등학교,초등학교,서울특별시 금천구 시흥대로24길 57,2013-11-29,2019-09-10,37.4418157,126.908303
B000001992,서울시흥초등학교,초등학교,서울특별시 금천구 독산로23길 26,2013-11-29,2019-09-10,37.4546436,126.9049575
B000001993,동광초등학교,초등학교,서울특별시 금천구 탑골로10길 45,2013-11-29,2019-09-10,37.45167193,126.9168874
B000001994,서울여의도초등학교,초등학교,서울특별시 영등포구 여의대방로 439,2013-11-29,2019-09-10,37.5228903,126.936812
B000001995,서울영원초등학교,초등학교,서울특별시 영등포구 도영로22길 31,2013-11-29,2019-09-10,37.51071999,126.9021816
B000001996,서울영중초등학교,초등학교,서울특별시 영등포구 양산로 185,2013-11-29,2019-09-10,37.5236591,126.9038138
B000001997,서울영동초등학교,초등학교,서울특별시 영등포구 국회대로53길 20,2013-11-29,2019-09-10,37.52700736,126.9077037
B000001998,서울당서초등학교,초등학교,서울특별시 영등포구 당산로 187,2013-11-29,2019-09-10,37.5319593,126.8997323
B000001999,서울도림초등학교,초등학교,서울특별시 영등포구 가마산로65길 22,2013-11-29,2019-09-10,37.5079604,126.9070328
B000002000,서울대동초등학교,초등학교,서울특별시 영등포구 대림로21길 6,2013-11-29,2019-09-10,37.4935997,126.9004978
B000002001,서울영등포초등학교,초등학교,서울특별시 영등포구 경인로 756,2013-11-29,2019-09-10,37.51294757,126.898215
B000002002,서울영문초등학교,초등학교,서울특별시 영등포구 문래로 56,2013-11-29,2019-09-10,37.5194948,126.8876868
B000002003,서울선유초등학교,초등학교,서울특별시 영등포구 선유로43가길 14,2013-11-29,2019-09-10,37.5328162,126.8927942
B000002004,서울당중초등학교,초등학교,서울특별시 영등포구 선유로 131,2013-11-29,2019-09-10,37.5263783,126.8897251
B000002005,서울도신초등학교,초등학교,서울특별시 영등포구 도림로53길 32-9,2013-11-29,2019-09-10,37.498728,126.9008446
B000002006,서울신영초등학교,초등학교,서울특별시 영등포구 도신로4길 32,2013-11-29,2019-09-10,37.5006847,126.8957265
B000002007,서울신대림초등학교,초등학교,서울특별시 영등포구 대림로8길 25,2013-11-29,2019-09-10,37.492244,126.9058543
B000002008,서울영림초등학교,초등학교,서울특별시 영등포구 시흥대로173길 14,2013-11-29,2019-09-10,37.4873525,126.9024483
B000002009,서울문래초등학교,초등학교,서울특별시 영등포구 문래로 104,2013-11-29,2019-09-10,37.5185396,126.8932886
B000002010,서울영신초등학교,초등학교,서울특별시 영등포구 도신로60길 23,2013-11-29,2019-09-10,37.509968,126.918009
B000002011,서울대영초등학교,초등학교,서울특별시 영등포구 신길로23길 43,2013-11-29,2019-09-10,37.5023694,126.9061518
B000002012,서울우신초등학교,초등학교,서울특별시 영등포구 신길로 190,2013-11-29,2019-09-10,37.509564,126.9118923
B000002013,서울대방초등학교,초등학교,서울특별시 영등포구 여의대방로35길 14,2013-11-29,2019-09-10,37.5026701,126.9191481
B000002014,서울대길초등학교,초등학교,서울특별시 영등포구 대방천로 206,2013-11-29,2019-09-10,37.4977844,126.9132303
B000002015,서울당산초등학교,초등학교,서울특별시 영등포구 선유로55길 32,2013-11-29,2019-09-10,37.5397741,126.8963677
B000002016,서울윤중초등학교,초등학교,서울특별시 영등포구 여의나루로2길 14,2013-11-29,2019-09-10,37.5197467,126.9228068
B000002017,서울초당초등학교,초등학교,서울특별시 도봉구 해등로32길 11,2013-11-29,2019-09-10,37.6584988,127.0221014
B000002018,서울신학초등학교,초등학교,서울특별시 도봉구 방학로 247-21,2013-11-29,2019-09-10,37.6609904,127.0255131
B000002019,서울창경초등학교,초등학교,서울특별시 도봉구 도봉로129길 54,2013-11-29,2019-09-10,37.6561144,127.0347544
B000002020,서울창림초등학교,초등학교,서울특별시 도봉구 덕릉로63길 46,2013-11-29,2019-09-10,37.6429724,127.0415487
B000002021,서울누원초등학교,초등학교,서울특별시 도봉구 마들로 859-44,2013-11-29,2019-09-10,37.6869304,127.0490694
B000002022,서울오봉초등학교,초등학교,서울특별시 도봉구 시루봉로 285,2013-11-29,2019-09-10,37.6718842,127.0402882
B000002023,서울도봉초등학교,초등학교,서울특별시 도봉구 도봉로173길 96,2013-11-29,2019-09-10,37.6793783,127.038218
B000002024,서울방학초등학교,초등학교,서울특별시 도봉구 도당로9길 34,2013-11-29,2019-09-10,37.6640395,127.0321675
B000002025,서울신방학초등학교,초등학교,서울특별시 도봉구 시루봉로 173,2013-11-29,2019-09-10,37.6659578,127.0292294
B000002026,서울창도초등학교,초등학교,서울특별시 도봉구 방학로 32-28,2013-11-29,2019-09-10,37.663831,127.0490956
B000002027,서울숭미초등학교,초등학교,서울특별시 도봉구 노해로 179,2013-11-29,2019-09-10,37.6508211,127.0279643
B000002028,서울쌍문초등학교,초등학교,서울특별시 도봉구 우이천로 360,2013-11-29,2019-09-10,37.6489734,127.024308
B000002029,서울백운초등학교,초등학교,서울특별시 도봉구 삼양로146길 17,2013-11-29,2019-09-10,37.6532035,127.0139875
B000002030,서울월천초등학교,초등학교,서울특별시 도봉구 노해로70길 96,2013-11-29,2019-09-10,37.6478356,127.0522016
B000002031,서울자운초등학교,초등학교,서울특별시 도봉구 마들로13길 166,2013-11-29,2019-09-10,37.6577174,127.0463946
B000002032,서울가인초등학교,초등학교,서울특별시 도봉구 도봉로136다길 4,2013-11-29,2019-09-10,37.6599068,127.0431592
B000002033,서울창동초등학교,초등학교,서울특별시 도봉구 해등로16길 81,2013-11-29,2019-09-10,37.6551201,127.0446861
B000002034,서울창원초등학교,초등학교,서울특별시 도봉구 해등로 103,2013-11-29,2019-09-10,37.6525531,127.0405915
B000002035,서울창일초등학교,초등학교,서울특별시 도봉구 노해로66길 84,2013-11-29,2019-09-10,37.6471695,127.0476085
B000002036,서울신창초등학교,초등학교,서울특별시 도봉구 덕릉로60길 93,2013-11-29,2019-09-10,37.6361731,127.0421969
B000002037,서울신화초등학교,초등학교,서울특별시 도봉구 우이천로 120,2013-11-29,2019-09-10,37.6326698,127.0408596
B000002038,동북초등학교,초등학교,서울특별시 도봉구 시루봉로 53,2013-11-29,2019-09-10,37.655351,127.0268289
B000002039,한신초등학교,초등학교,서울특별시 도봉구 노해로49길 69,2013-11-29,2019-09-10,37.6529105,127.0318063
B000002040,서울신계초등학교,초등학교,서울특별시 노원구 초안산로 29,2013-11-29,2019-09-10,37.6301665,127.052988
B000002041,서울녹천초등학교,초등학교,서울특별시 노원구 마들로3길 34,2013-11-29,2019-09-10,37.6288012,127.0631131
B000002042,서울덕암초등학교,초등학교,서울특별시 노원구 덕릉로112길 68,2013-11-29,2019-09-10,37.6664888,127.0814678
B000002043,서울온곡초등학교,초등학교,서울특별시 노원구 한글비석로52길 59,2013-11-29,2019-09-10,37.6676082,127.0657902
B000002044,서울상원초등학교,초등학교,서울특별시 노원구 한글비석로54길 119,2013-11-29,2019-09-10,37.6671878,127.0598254
B000002045,서울불암초등학교,초등학교,서울특별시 노원구 중계로 178,2013-11-29,2019-09-10,37.6510667,127.0806469
B000002046,서울수암초등학교,초등학교,서울특별시 노원구 중계로12길 9,2013-11-29,2019-09-10,37.6478737,127.0813164
B000002047,서울중계초등학교,초등학교,서울특별시 노원구 한글비석로19길 39,2013-11-29,2019-09-10,37.6577549,127.0730277
B000002048,서울연촌초등학교,초등학교,서울특별시 노원구 공릉로58길 36,2013-11-29,2019-09-10,37.6350647,127.0728621
B000002049,서울태랑초등학교,초등학교,서울특별시 노원구 화랑로51나길 31,2013-11-29,2019-09-10,37.6259486,127.0905347
B000002050,서울태릉초등학교,초등학교,서울특별시 노원구 노원로1길 36,2013-11-29,2019-09-10,37.6228668,127.0852435
B000002051,서울공연초등학교,초등학교,서울특별시 노원구 동일로192가길 16,2013-11-29,2019-09-10,37.6272531,127.0741645
B000002052,서울용원초등학교,초등학교,서울특별시 노원구 섬밭로 144,2013-11-29,2019-09-10,37.6296027,127.0688931
B000002053,서울공릉초등학교,초등학교,서울특별시 노원구 동일로173길 12,2013-11-29,2019-09-10,37.6188016,127.0741878
B000002054,서울신상계초등학교,초등학교,서울특별시 노원구 상계로 267,2013-11-29,2019-09-10,37.6674743,127.0757904
B000002055,서울상계초등학교,초등학교,서울특별시 노원구 상계로9길 39,2013-11-29,2019-09-10,37.6593115,127.0662421
B000002056,서울계상초등학교,초등학교,서울특별시 노원구 한글비석로41가길 24,2013-11-29,2019-09-10,37.66271,127.0682669
